         153561 function calls (150920 primitive calls) in 0.214 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:78(PurePath)
       23    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.002    0.002 _format_impl.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _colorize.py:127(__post_init__)
     16/8    0.000    0.000    0.000    0.000 annotationlib.py:1105(_get_and_call_annotate)
        1    0.000    0.000    0.000    0.000 mixins.py:60(NDArrayOperatorsMixin)
       46    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:89(<genexpr>)
    11/10    0.000    0.000    0.020    0.002 <frozen importlib._bootstrap_external>:1059(exec_module)
      174    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.002    0.002 shape_base.py:1(<module>)
        8    0.000    0.000    0.001    0.000 typing.py:2934(_make_nmtuple)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1449(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 pickle.py:1250(_Unpickler)
        8    0.000    0.000    0.000    0.000 typing.py:385(decorator)
        8    0.000    0.000    0.000    0.000 <frozen os>:704(__getitem__)
       14    0.000    0.000    0.000    0.000 functools.py:593(decorating_function)
       28    0.000    0.000    0.001    0.000 inspect.py:3318(signature)
        1    0.000    0.000    0.002    0.002 _utils_impl.py:1(<module>)
       94    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 _linalg.py:189(_commonType)
       23    0.000    0.000    0.002    0.000 overrides.py:184(decorator)
       23    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:656(has_location)
        2    0.000    0.000    0.000    0.000 _linalg.py:84(__annotate__)
       99    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       25    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:711(polyval)
